isic_id,avg_R,avg_G,avg_B,med_R,med_G,med_B,std_R,std_G,std_B,brightness_mean,hue_mean,saturation_mean,lightness_mean,skin_pixel_ratio,edge_density,target
ISIC_0077599,174.13446553691728,144.43207392045943,115.96769865714438,181.0,150.0,120.0,33.115546056528586,32.316588416035465,28.596205971922288,174.134535072542,14.151546758617304,86.85370931654661,157.52341509904736,0.9326133728027344,0.1177978515625,0
ISIC_0082910,99.74762535294722,67.2742437708972,59.94649713107568,101.0,67.0,60.0,14.10475089501351,12.438542965450653,14.287294149927252,99.74762535294722,5.130827785940155,103.18847835156264,81.4265779083758,0.6309242248535156,0.1965560913085937,0
ISIC_0086394,150.79256001466007,133.57943925233644,132.21220450797142,161.0,143.0,141.0,31.759100969631223,31.038537978683035,30.65245027613737,150.79256001466007,1.7876122411581454,32.89591350558915,145.3815283122595,0.0208168029785156,0.0308914184570312,1
ISIC_0087198,174.35729083913577,133.17058040095333,106.9586273501877,183.0,140.0,112.0,35.916333802151826,33.70377140847063,30.002610759765197,174.35729083913577,11.418056918547595,101.36222487032104,149.60979485022665,0.9795684814453124,0.0093917846679687,0
ISIC_0087357,185.87927666386304,163.96183221640393,156.40151802913965,190.0,168.0,162.0,29.32850860286741,30.81365786753664,31.920631430764036,185.87927666386304,6.601310470195621,42.03743522261714,175.68718967902976,0.5623931884765625,0.0035476684570312,0
ISIC_0087673,138.89220956719817,105.94651480637812,98.70788154897494,137.0,103.0,96.0,23.641181558988464,23.025349216293023,25.538285999189583,138.89220956719817,4.809658314350798,75.7270159453303,121.78077448747152,0.0418663024902343,0.1080245971679687,0
ISIC_0089649,126.4957269859478,86.60217952394609,83.76593059936909,123.0,80.0,78.0,20.076219021838263,24.07255393611268,23.88418159278434,126.4957269859478,1.996616002294236,88.90192142242616,104.38141669056496,0.0665092468261718,0.092681884765625,1
ISIC_0091454,150.71785629874734,125.63395178444812,120.25076813991964,154.0,128.0,123.0,22.885505930527223,23.1474078341682,25.06570394583108,150.71785629874734,4.559442212242969,53.22725124084141,139.5200898132829,0.0645599365234375,0.0531044006347656,1
ISIC_0092255,176.94572910337274,154.1111348834821,142.84319506371472,184.0,159.0,147.0,28.101973681446463,28.086824500134163,26.641567865598024,176.9457547775334,9.55048395792861,50.12264118648854,166.29628409314586,0.8914871215820312,0.0164566040039062,0
ISIC_0093357,179.69322322644737,149.69585042434872,105.0838530166208,184.0,153.0,107.0,36.58192892957239,36.426690265985535,29.68283997659374,179.69322322644737,17.742771325124473,108.33223381673255,161.77734012705238,0.9830055236816406,0.0301361083984375,0
ISIC_0096591,122.48506757316972,89.32605090788492,81.2063759223945,123.0,91.0,84.0,23.64911001846494,24.147095905655828,27.490108734656232,122.48506757316972,5.26026034325512,90.28432136638752,104.69824226846862,0.4600906372070312,0.0987281799316406,0
ISIC_0107306,118.11935130507044,90.79691769179436,86.25656942118583,119.0,92.0,88.0,24.85159276380893,23.061043579394934,24.84668362826818,118.11935130507044,3.849498243537604,71.81424308432278,104.65528008964884,0.3029670715332031,0.1549110412597656,0
ISIC_0107551,188.4095789638441,150.83003991234935,132.16370715291907,193.0,153.0,133.0,30.53897595016107,30.897478445626284,31.88061496945321,188.4095789638441,9.394001408671151,78.0930349037408,166.33870323994364,0.974884033203125,0.0142936706542968,1
ISIC_0108178,95.6552992017162,79.83634666556654,70.73388477485096,96.0,80.0,70.0,14.28685246540181,14.06139193514844,14.602472763275223,95.6552992017162,10.304322490150374,67.46723323500898,89.81950432145878,0.7397308349609375,0.0209770202636718,0
ISIC_0110573,160.83312102441135,123.38123605421788,108.59787025010824,161.0,122.0,106.0,25.660326836855592,24.68495432763924,26.457372529315816,160.83312102441135,8.16528874013388,84.638899990009,139.9744729743231,0.916351318359375,0.2298583984375,0
ISIC_0112733,172.60141440117562,142.72504286064168,135.59030737203037,174.0,144.0,137.0,21.534769354843565,20.23003225618515,22.13340119144152,172.60141440117562,5.403906441342151,55.43169850600049,157.50127969630174,0.623016357421875,0.1087570190429687,1
ISIC_0113744,145.1208480565371,103.35706713780918,81.63339222614842,140.0,94.0,66.0,30.61367433884116,36.69762527656184,44.84902882701032,145.1208480565371,9.478312720848056,120.99730565371024,120.74315371024736,0.08636474609375,0.0023880004882812,1
ISIC_0114593,221.01098901098905,193.3489010989011,192.07967032967036,219.0,193.0,192.0,13.627093653433215,14.648696596599628,14.654509259936308,221.01098901098905,1.239010989010989,33.54120879120879,205.23076923076923,0.0013885498046875,0.0012435913085937,1
ISIC_0120448,190.2119920690091,161.7073867226997,152.4111357747725,194.0,164.0,154.0,25.65525483030852,25.057719543987627,24.79156367601263,190.2119920690091,7.162439174671385,51.3193013776542,175.14169931749242,0.9658203125,0.0028152465820312,0
ISIC_0124027,200.2681487580623,155.74763277068752,152.6134211609716,206.0,160.0,156.0,23.788568352536725,22.40592273252741,21.808012445155896,200.2681487580623,1.9816110882393303,61.32070811033347,173.882118841773,0.0277976989746093,0.0016975402832031,1
ISIC_0124392,87.23745128226466,54.94250266993994,49.10145771786016,87.0,55.0,49.0,8.40412970891488,7.512410980488263,9.73056833211262,87.23745128226466,4.317861551477829,112.39203733754977,68.11005007004258,0.5500717163085938,0.084320068359375,0
ISIC_0128303,219.85085156809788,184.2193132337541,153.46469712836907,224.0,191.0,167.0,16.581590655642398,27.286059424061023,49.51317270168186,219.85085156809788,11.336769001818883,79.82081243454776,197.1307942457146,0.0692100524902343,0.0128517150878906,1
ISIC_0128624,178.2081077612826,154.82860133298044,127.14153894275884,184.0,160.0,130.0,31.243193190342705,31.876386570549077,28.443299025360755,178.2081077612826,15.86899176311125,74.45992236311285,166.0788639991017,0.9512557983398438,0.0720291137695312,0
ISIC_0129822,181.25955709513795,150.32170987905246,136.56852418067314,183.0,149.0,136.0,24.636254168041532,23.756517334965007,22.91022176493558,181.25955709513795,8.730657523432484,63.21853625775437,164.66742663909557,0.6475181579589844,0.1177825927734375,1
